label,f0,f1,f2,f3,f4,f5,f6,f7,f8,f9,f10,f11,f12,f13,f14,f15,f16,f17,f18,f19,f20,f21,f22,f23,f24,f25,f26,f27,f28,f29,f30,f31,f32,f33,f34,f35,f36,f37,f38,f39,f40,f41
Fist,0.0,0.0,-0.3223161720349299,0.2967417569105179,-0.8058182251844168,0.19553021827701786,-0.8965632030462588,-0.3472074129308154,-0.6397595872240907,-0.7149635298340535,-0.9294504919611556,-0.368076654514148,-1.0169598604503949,-0.6130733682159952,-0.842694354348669,-0.290671535267805,-0.8214595503480259,-0.22633921414267844,-0.7691540539535453,-0.6390634094413691,-0.8424203044440066,-0.8972276846656297,-0.6463302831588885,-0.49659646967955284,-0.6571359116061846,-0.47365153575782304,-0.5979027717142499,-0.8322508748857073,-0.6099229321233708,-1.0991628035614576,-0.45795234477804564,-0.6772499717796351,-0.4771959795425599,-0.6061166292660295,-0.37959097666507846,-1.0093693607778442,-0.40440988529075356,-1.1834736228075506,-0.311702346012012,-0.8653280156918529,-0.3050893885260799,-0.7548356778848629
Fist,0.0,0.0,-0.318964450873401,0.2837755013684518,-0.7822783409344093,0.16892803339883317,-0.8485350714934096,-0.37613818692561346,-0.5906065082777638,-0.729520865829483,-0.9158997042828172,-0.4008780139807104,-0.9844459728700943,-0.6630055931047463,-0.8097524808206499,-0.3425653632963255,-0.7842561726796379,-0.2598731673875545,-0.7467710396317481,-0.6650812088514589,-0.8045373340748311,-0.921924021552244,-0.6137385954637994,-0.5273543414795753,-0.6331757764966686,-0.4930419670041114,-0.5682766296475932,-0.8552669778480094,-0.5661658876090851,-1.1113328982392685,-0.4163747212709257,-0.7002730064341213,-0.4449162573934312,-0.6272793062712534,-0.3445579101097386,-1.0290009841612084,-0.3535704938063964,-1.1901303478753353,-0.2588228596175683,-0.8802643977096049,-0.26159657085707694,-0.7745541959498632
Fist,0.0,0.0,-0.2222959155466379,0.23628420627020968,-0.44065297087061006,0.42070011207154323,-0.4653840571376069,0.46159672509747146,-0.2826020963064377,0.25024777550526883,-0.8290391890457286,-0.5169229801271823,-0.672844462007293,0.094271179247827,-0.5013369541430911,0.22934997416293676,-0.4794226633613279,0.05552359067624991,-0.6139808528124657,-0.789320918498729,-0.41981479194174964,-0.03661514205658151,-0.28757693231830345,0.12795929706451276,-0.3017205321579428,-0.011690355656062192,-0.3573366102853341,-0.8984539295377477,-0.15712949014525449,-0.13198424623541075,-0.09716097583443316,0.055687915864598585,-0.13757246600343112,-0.046776837199439,-0.10355569781004802,-0.8946919006682076,0.03991618787562133,-0.23389436543364137,0.06275448064567442,-0.0326154960562788,0.018811598552907143,-0.07198752034358089
Fist,0.0,0.0,-0.2943419112259713,0.3058007478739318,-0.5783725373421121,0.47154306292767656,-0.7431428376905788,0.5214655194532729,-0.6116624688222031,0.37391806194178706,-0.9216014565173399,-0.425966099991668,-0.9479393638352929,0.19466433235188985,-0.7364962257438544,0.2622782767791215,-0.6791801687554101,0.10579867400968222,-0.7956163201515464,-0.6058008510298679,-0.791463862393724,0.12274399366076792,-0.6066164684323558,0.16541147460553474,-0.5680959768082509,0.005010182126446058,-0.6078807711038624,-0.6404461346601877,-0.6078791305727143,0.04395365736491539,-0.46495332272742135,0.09768925512252528,-0.43109713457936105,-0.056452864182660156,-0.40426378685466724,-0.5845376533968549,-0.3959203188570411,-0.016747362225875764,-0.2992030784397939,0.03231080780650423,-0.26220828078346714,-0.0994252104991246
Fist,0.0,0.0,-0.30694646594901437,0.306753672881921,-0.6150835553385684,0.4698438339882425,-0.8238944883344768,0.557794308238169,-0.7585248649351451,0.5111363065694148,-0.9008013954622716,-0.46543172454447607,-1.009319830235174,0.21385890308699884,-0.818409540428757,0.2694658895726837,-0.7384731977104871,0.12230299053921054,-0.838439225084902,-0.5449951062523672,-0.9158612372640681,0.22612933518154288,-0.7255667564377506,0.24397888375232843,-0.6545425628810654,0.08788957659391086,-0.7300229795494112,-0.49530766899313816,-0.7947672879930703,0.24931886553055735,-0.6084590786110148,0.2804354883223866,-0.5444434626073867,0.13862861240092206,-0.5972319273356262,-0.3682481259265021,-0.5949380166051255,0.25112826856856313,-0.4588991884244192,0.2895240921555482,-0.4058629742078038,0.168492822910986
Fist,0.0,0.0,-0.29163399569746573,0.17039386031124978,-0.5836022602376293,0.2864995373047341,-0.7711140534031171,0.456570567631021,-0.8496754928343522,0.56609794818879,-0.8074181281392736,-0.5809208013369385,-0.9533379168345966,0.03640194051899964,-0.821132683071329,0.256292055995234,-0.7029632454948388,0.2747737548883113,-0.8195836710863939,-0.5729595152264684,-0.9576131899130175,0.09111939874787225,-0.7970440374118588,0.2789530686601783,-0.6669051061999828,0.2888302045682211,-0.794622494778589,-0.45645935651415387,-0.9063950689128815,0.1854512100429638,-0.7319991971246557,0.3562412996763088,-0.6142923977943328,0.34574265249800284,-0.7422029759702397,-0.2626795459290101,-0.8044211474127284,0.24473563222249747,-0.6862701391070333,0.39110121862343356,-0.6012733889617693,0.4016262387237394
Fist,0.0,0.0,-0.3276619256300025,0.22712870238924515,-0.6810525137356617,0.19031110726936185,-0.8727733222824968,-0.055972314767994386,-0.7846024259696889,-0.319104177989463,-0.6945928200517084,-0.5828209058249062,-0.9183515113717774,-0.41305736045821756,-0.7142106247759564,-0.1944327796685495,-0.6030070748428328,-0.2591834441853903,-0.6147395199786083,-0.7887301963133339,-0.8592007327310881,-0.5292649912237565,-0.6122694937708013,-0.27164477303511647,-0.4974104054868556,-0.3937424800924495,-0.5273197469418892,-0.9470333724778254,-0.7483870925406142,-0.6247503719130523,-0.5256309750298424,-0.3515195952651245,-0.414008101739628,-0.45751980506312645,-0.4113770180576262,-1.051520395293888,-0.6103841528256614,-0.7005248645494732,-0.45597953603374464,-0.4910592169833078,-0.3405895678794018,-0.5698582900705315
Fist,0.0,0.0,-0.35341218273651026,0.2935513033884838,-0.8136398012076181,0.2572988386501508,-0.9483079868905339,-0.21822073794005095,-0.769864315030729,-0.632175305044967,-0.897420808356968,-0.37939869698446915,-1.0965632653826625,-0.5006648695657021,-0.8801159475994723,-0.2071128310045966,-0.7904087139460473,-0.19398117763456924,-0.7505204530067586,-0.6608472210870905,-0.9475669328877913,-0.7455799091953195,-0.7107615824489012,-0.38061007767198807,-0.654025370536546,-0.4256338869606399,-0.5830654063245263,-0.8690391017072876,-0.7457874116678136,-0.9406583319678781,-0.5377611286806698,-0.5451240662808359,-0.46920517894183283,-0.5521162930864753,-0.3664416471121118,-1.0755150894282772,-0.5226820030355779,-1.0558817531844855,-0.3975688559177863,-0.7431950092103028,-0.332363087816348,-0.7280015642225259
Fist,0.0,0.0,-0.37810031791948606,0.050014930081938594,-0.78541590219125,-0.26977296153230756,-0.9338981823344583,-0.7985305118919407,-1.0005949109798111,-1.0493699325374852,-1.1072650217426696,-0.0678297988720032,-1.1991413669827646,-0.7441366722876709,-0.9054094998733769,-0.6108494272889293,-0.8215744058771494,-0.3988603346246416,-0.9142295021459477,-0.40519676381478265,-0.9784384843378703,-0.9888068072516465,-0.6731505529279488,-0.7572608807416629,-0.7008583976748265,-0.5659308092043173,-0.7274440229596553,-0.7028755965479442,-0.7508691543857645,-1.1613137235651938,-0.48781907619824927,-0.8762276204891036,-0.5448657190790213,-0.6583359205501823,-0.5461411012567905,-0.9286549676779124,-0.5485553963806109,-1.2512751175216845,-0.37261984712155866,-1.0189502313144474,-0.3802487693105712,-0.7817560644923142
Fist,0.0,0.0,-0.277592063170039,-0.19929740917990424,-0.5948717793420841,-0.5361442451089147,-0.7791844677726263,-0.9409409269789161,-0.7996707382456298,-1.114517963535885,-1.0521918171424802,0.08493543778607629,-1.1028056472536583,-0.6664754363433438,-0.8369948099604038,-0.6572319353803483,-0.7253666086059669,-0.447374976624074,-0.9904644897839526,-0.13776826367859304,-1.0255229137438113,-0.793276034707256,-0.7667369377541495,-0.7288722729409849,-0.6877715280981263,-0.5294418522180973,-0.8822774946941723,-0.3758735266183599,-0.9101418994309816,-0.9330522919202863,-0.6668276409377498,-0.8857272478852857,-0.6223294928283255,-0.6932271380920625,-0.7402111953736317,-0.583979077694868,-0.7865177306725339,-1.0271090808454133,-0.611574254248289,-0.9596991157589416,-0.5492397389893953,-0.7419877096498646
